trip_id,arrival_time,departure_time,pickup_type,drop_off_type,stop_id,stop_sequence
L01_14_0,09:32:00,09:32:00,,,ECSA:11,11
L01_14_0,09:33:00,09:33:00,,,VA:1,12
L01_15_0,09:30:00,09:30:00,,,ECSA:1,1
L01_15_0,09:31:00,09:31:00,,,ECSA:2,2
L01_15_0,09:34:00,09:34:00,,,ECSA:3,3
L01_15_0,09:35:00,09:35:00,,,ECSA:4,4
L01_15_0,09:40:00,09:40:00,,,ECSA:5,5
L01_15_0,09:41:00,09:41:00,,,ECSA:6,6
L01_15_0,09:43:00,09:43:00,,,ECSA:7,7
L01_15_0,09:44:00,09:44:00,1,,ECSA:8,8
L01_15_0,09:45:00,09:45:00,1,,ECSA:9,9
L01_15_0,09:46:00,09:46:00,1,,118,10
L01_15_0,09:47:00,09:47:00,,,ECSA:11,11
L01_15_0,09:48:00,09:48:00,,,VA:1,12
L01_16_0,09:45:00,09:45:00,,,ECSA:1,1
L01_16_0,09:46:00,09:46:00,,,ECSA:2,2
L01_16_0,09:49:00,09:49:00,,,ECSA:3,3
L01_16_0,09:50:00,09:50:00,,,ECSA:4,4
L01_16_0,09:55:00,09:55:00,,,ECSA:5,5
L01_16_0,09:56:00,09:56:00,,,ECSA:6,6
L01_16_0,09:58:00,09:58:00,,,ECSA:7,7
L01_16_0,09:59:00,09:59:00,1,,ECSA:8,8
L01_16_0,10:00:00,10:00:00,1,,ECSA:9,9
L01_16_0,10:01:00,10:01:00,1,,118,10
L01_16_0,10:02:00,10:02:00,,,ECSA:11,11
L01_16_0,10:03:00,10:03:00,,,VA:1,12
L01_17_0,10:00:00,10:00:00,,,ECSA:1,1
L01_17_0,10:01:00,10:01:00,,,ECSA:2,2
L01_17_0,10:04:00,10:04:00,,,ECSA:3,3
L01_17_0,10:05:00,10:05:00,,,ECSA:4,4
L01_17_0,10:10:00,10:10:00,,,ECSA:5,5
L01_17_0,10:11:00,10:11:00,,,ECSA:6,6
L01_17_0,10:13:00,10:13:00,,,ECSA:7,7
L01_17_0,10:14:00,10:14:00,1,,ECSA:8,8
L01_17_0,10:15:00,10:15:00,1,,ECSA:9,9
L01_17_0,10:16:00,10:16:00,1,,118,10
L01_17_0,10:17:00,10:17:00,,,ECSA:11,11
L01_17_0,10:18:00,10:18:00,,,VA:1,12
L01_18_0,10:30:00,10:30:00,,,ECSA:1,1
L01_18_0,10:31:00,10:31:00,,,ECSA:2,2
L01_18_0,10:34:00,10:34:00,,,ECSA:3,3
L01_18_0,10:35:00,10:35:00,,,ECSA:4,4
L01_18_0,10:40:00,10:40:00,,,ECSA:5,5
L01_18_0,10:41:00,10:41:00,,,ECSA:6,6
L01_18_0,10:43:00,10:43:00,,,ECSA:7,7
L01_18_0,10:44:00,10:44:00,1,,ECSA:8,8
L01_18_0,10:45:00,10:45:00,1,,ECSA:9,9
L01_18_0,10:46:00,10:46:00,1,,118,10
L01_18_0,10:47:00,10:47:00,,,ECSA:11,11
L01_18_0,10:48:00,10:48:00,,,VA:1,12
L01_19_0,11:00:00,11:00:00,,,ECSA:1,1
L01_19_0,11:01:00,11:01:00,,,ECSA:2,2
L01_19_0,11:04:00,11:04:00,,,ECSA:3,3
L01_19_0,11:05:00,11:05:00,,,ECSA:4,4
L01_19_0,11:10:00,11:10:00,,,ECSA:5,5
L01_19_0,11:11:00,11:11:00,,,ECSA:6,6
L01_19_0,11:13:00,11:13:00,,,ECSA:7,7
L01_19_0,11:14:00,11:14:00,1,,ECSA:8,8
L01_19_0,11:15:00,11:15:00,1,,ECSA:9,9
L01_19_0,11:16:00,11:16:00,1,,118,10
L01_19_0,11:17:00,11:17:00,,,ECSA:11,11
L01_19_0,11:18:00,11:18:00,,,VA:1,12
L01_20_0,11:30:00,11:30:00,,,ECSA:1,1
L01_20_0,11:31:00,11:31:00,,,ECSA:2,2
L01_20_0,11:34:00,11:34:00,,,ECSA:3,3
L01_20_0,11:35:00,11:35:00,,,ECSA:4,4
L01_20_0,11:40:00,11:40:00,,,ECSA:5,5
L01_20_0,11:41:00,11:41:00,,,ECSA:6,6
L01_20_0,11:43:00,11:43:00,,,ECSA:7,7
L01_20_0,11:44:00,11:44:00,1,,ECSA:8,8
L01_20_0,11:45:00,11:45:00,1,,ECSA:9,9
L01_20_0,11:46:00,11:46:00,1,,118,10
L01_20_0,11:47:00,11:47:00,,,ECSA:11,11
L01_20_0,11:48:00,11:48:00,,,VA:1,12
L01_21_0,12:00:00,12:00:00,,,ECSA:1,1
L01_21_0,12:01:00,12:01:00,,,ECSA:2,2
L01_21_0,12:04:00,12:04:00,,,ECSA:3,3
L01_21_0,12:05:00,12:05:00,,,ECSA:4,4
L01_21_0,12:10:00,12:10:00,,,ECSA:5,5
L01_21_0,12:11:00,12:11:00,,,ECSA:6,6
L01_21_0,12:13:00,12:13:00,,,ECSA:7,7
