service_id,date,exception_type
L1A11_L1A8,20231222,1
L1A11_L1A9,20231222,1
L1A11_L1A1,20231226,1
L1A11_L1A10,20231226,1
L1A11_L1A11,20231226,1
L1A11_L1A2,20231226,1
L1A11_L1A3,20231226,1
L1A11_L1A4,20231226,1
L1A11_L1A5,20231226,1
L1A11_L1A6,20231226,1
L1A11_L1A7,20231226,1
L1A11_L1A8,20231226,1
L1A11_L1A9,20231226,1
L1A11_L1A1,20231227,1
L1A11_L1A10,20231227,1
L1A11_L1A11,20231227,1
L1A11_L1A2,20231227,1
L1A11_L1A3,20231227,1
L1A11_L1A4,20231227,1
L1A11_L1A5,20231227,1
L1A11_L1A6,20231227,1
L1A11_L1A7,20231227,1
L1A11_L1A8,20231227,1
L1A11_L1A9,20231227,1
L1A11_L1A1,20231228,1
L1A11_L1A10,20231228,1
L1A11_L1A11,20231228,1
L1A11_L1A2,20231228,1
L1A11_L1A3,20231228,1
L1A11_L1A4,20231228,1
L1A11_L1A5,20231228,1
L1A11_L1A6,20231228,1
L1A11_L1A7,20231228,1
L1A11_L1A8,20231228,1
L1A11_L1A9,20231228,1
L1A11_L1A1,20231229,1
L1A11_L1A10,20231229,1
L1A11_L1A11,20231229,1
L1A11_L1A2,20231229,1
L1A11_L1A3,20231229,1
L1A11_L1A4,20231229,1
L1A11_L1A5,20231229,1
L1A11_L1A6,20231229,1
L1A11_L1A7,20231229,1
L1A11_L1A8,20231229,1
L1A11_L1A9,20231229,1
L1A7_L1A1,20231217,1
L1A7_L1A2,20231217,1
L1A7_L1A3,20231217,1
L1A7_L1A4,20231217,1
L1A7_L1A5,20231217,1
L1A7_L1A6,20231217,1
L1A7_L1A7,20231217,1
L1A7_L1A1,20231224,1
L1A7_L1A2,20231224,1
L1A7_L1A3,20231224,1
L1A7_L1A4,20231224,1
L1A7_L1A5,20231224,1
L1A7_L1A6,20231224,1
L1A7_L1A7,20231224,1
L1A7_L1A1,20231225,1
L1A7_L1A2,20231225,1
L1A7_L1A3,20231225,1
L1A7_L1A4,20231225,1
L1A7_L1A5,20231225,1
L1A7_L1A6,20231225,1
L1A7_L1A7,20231225,1
L1A7_L1A1,20231231,1
L1A7_L1A2,20231231,1
L1A7_L1A3,20231231,1
L1A7_L1A4,20231231,1
L1A7_L1A5,20231231,1
L1A7_L1A6,20231231,1
L1A7_L1A7,20231231,1
L1A8_L1A1,20231216,1
L1A8_L1A2,20231216,1
L1A8_L1A3,20231216,1
L1A8_L1A4,20231216,1
L1A8_L1A5,20231216,1
L1A8_L1A6,20231216,1
L1A8_L1A7,20231216,1
L1A8_L1A8,20231216,1
L1A8_L1A1,20231223,1
L1A8_L1A2,20231223,1
L1A8_L1A3,20231223,1
L1A8_L1A4,20231223,1
L1A8_L1A5,20231223,1
L1A8_L1A6,20231223,1
L1A8_L1A7,20231223,1
L1A8_L1A8,20231223,1
L1A8_L1A1,20231230,1
L1A8_L1A2,20231230,1
L1A8_L1A3,20231230,1
L1A8_L1A4,20231230,1
L1A8_L1A5,20231230,1
L1A8_L1A6,20231230,1
L1A8_L1A7,20231230,1
L1A8_L1A8,20231230,1
L23A1_L23_0740,20231212,1
L23A1_L23_0905,20231212,1
L23A1_L23_1305,20231212,1
L23A1_L23_1605,20231212,1
L23A1_L23_2120,20231212,1
L23A1_L23_0740,20231213,1
L23A1_L23_0905,20231213,1
L23A1_L23_1305,20231213,1
L23A1_L23_1605,20231213,1
L23A1_L23_2120,20231213,1
L23A1_L23_0740,20231214,1
L23A1_L23_0905,20231214,1
L23A1_L23_1305,20231214,1
L23A1_L23_1605,20231214,1
L23A1_L23_2120,20231214,1
L23A1_L23_0740,20231215,1
L23A1_L23_0905,20231215,1
L23A1_L23_1305,20231215,1
L23A1_L23_1605,20231215,1
L23A1_L23_2120,20231215,1
L23A1_L23_0740,20231216,1
L23A1_L23_0905,20231216,1
L23A1_L23_1305,20231216,1
L23A1_L23_1605,20231216,1
L23A1_L23_2120,20231216,1
L23A1_L23_0740,20231218,1
L23A1_L23_0905,20231218,1
L23A1_L23_1305,20231218,1
L23A1_L23_1605,20231218,1
L23A1_L23_2120,20231218,1
L23A1_L23_0740,20231219,1
L23A1_L23_0905,20231219,1
L23A1_L23_1305,20231219,1
L23A1_L23_1605,20231219,1
L23A1_L23_2120,20231219,1
L23A1_L23_0740,20231220,1
L23A1_L23_0905,20231220,1
L23A1_L23_1305,20231220,1
L23A1_L23_1605,20231220,1
L23A1_L23_2120,20231220,1
L23A1_L23_0740,20231221,1
L23A1_L23_0905,20231221,1
L23A1_L23_1305,20231221,1
L23A1_L23_1605,20231221,1
L23A1_L23_2120,20231221,1
L23A1_L23_0740,20231222,1
L23A1_L23_0905,20231222,1
L23A1_L23_1305,20231222,1
L23A1_L23_1605,20231222,1
L23A1_L23_2120,20231222,1
L23A1_L23_0740,20231223,1
L23A1_L23_0905,20231223,1
L23A1_L23_1305,20231223,1
L23A1_L23_1605,20231223,1
L23A1_L23_2120,20231223,1
L23A1_L23_0740,20231226,1
L23A1_L23_0905,20231226,1
L23A1_L23_1305,20231226,1
L23A1_L23_1605,20231226,1
L23A1_L23_2120,20231226,1
L23A1_L23_0740,20231227,1
L23A1_L23_0905,20231227,1
L23A1_L23_1305,20231227,1
L23A1_L23_1605,20231227,1
L23A1_L23_2120,20231227,1
L23A1_L23_0740,20231228,1
