shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
AEROP_1,41.66702131005002,-4.79631900700042,27,
AEROP_1,41.6659633655286,-4.794130324444268,28,
AEROP_1,41.66487334390003,-4.790654181560967,29,
AEROP_1,41.66403978549736,-4.7852039328427045,30,
AEROP_1,41.66234057533445,-4.775505065044854,31,
AEROP_1,41.66173141360254,-4.7700977316708295,32,
AEROP_1,41.66073750577378,-4.761471747478936,33,
AEROP_1,41.66048101094065,-4.75786685856292,34,
AEROP_1,41.66094590707346,-4.743980169296265,35,
AEROP_1,41.66075554052831,-4.743071794291609,36,
AEROP_1,41.66053110766803,-4.741183519145125,37,
AEROP_1,41.66014636380207,-4.737085103770369,38,
AEROP_1,41.660082239600925,-4.736409187098616,39,
AEROP_1,41.657877931364254,-4.736827611704939,40,
AEROP_1,41.6566675336623,-4.73729968049156,41,
AEROP_1,41.655825852977344,-4.737632274409407,42,
AEROP_1,41.65479177307805,-4.738233089228743,43,
AEROP_1,41.65427165402224,-4.73859429359436,44,
AEROP_1,41.65407832843039,-4.738619327326887,45,
AEROP_1,41.65390998640618,-4.738651513835066,46,
AEROP_1,41.65365346438039,-4.73805069901573,47,
AEROP_1,41.653549252015615,-4.737857579966657,48,
AEROP_1,41.65338090860863,-4.737707376261824,49,
AEROP_1,41.6534290067698,-4.73729968049156,50,
AEROP_1,41.65341684865952,-4.736577272415161,51,
AEROP_1,41.6534961437264,-4.735774397740897,52,
AEROP_1,41.65355626631468,-4.734186530004081,53,
AEROP_1,41.653580315334274,-4.732276797185477,54,
AEROP_1,41.64912407910569,-4.73306179024803,55,
AEROP_1,41.64869316966896,-4.732904433767544,56,
AEROP_1,41.64744251386562,-4.73101615862106,57,
AEROP_1,41.64716993181431,-4.73101615862106,58,
AEROP_1,41.645133547059295,-4.733591079275357,59,
AEROP_1,41.644642480080265,-4.732718467494123,60,
AEROP_1,41.644353851211534,-4.731355905314558,61,
AEROP_1,41.644426008549914,-4.729757308741682,62,
AEROP_1,41.644450060978095,-4.727911948939436,63,
AEROP_1,41.644233588801306,-4.727525710841292,64,
AEROP_1,41.643800642265916,-4.7272789476119215,65,
AEROP_1,41.64319624939881,-4.727259278297424,66,
AEROP_1,41.64297482877109,-4.727160930415266,67,
AEROP_1,41.64288663447137,-4.727150201579207,68,
AEROP_1,41.64233140849432,-4.72861647605896,69,
AEROP_1,41.64236548387259,-4.728609323283308,70,
AEROP_1,41.64201170039119,-4.728934764752921,71,
AEROP_1,41.64142639994182,-4.729321002851066,72,
AEROP_1,41.64132216779728,-4.729514121900137,73,
AEROP_1,41.641254015919316,-4.730023741612968,74,
AEROP_1,41.641213926545674,-4.73096787918621,75,
AEROP_1,41.64118185502879,-4.731375574956473,76,
AEROP_1,41.64116181032263,-4.732078313718375,77,
AEROP_1,41.64112071865552,-4.732918739318848,78,
AEROP_1,41.64162076573118,-4.733063578605652,79,
